Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Number of Premises Baited,Number of Premises with Garbage,Number of Premises with Rats,Current Activity,Most Recent Action,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
04/16/2015,Open,,15-01358355,Rodent Baiting/Rat Complaint,,,,,,2240 S MARSHALL BLVD,60623,1157052.98382603,1888975.29223301,12,10,30,41.8511169405,-87.6990683595,"(41.85111694053546, -87.6990683595148)"
04/16/2015,Open,,15-01358059,Rodent Baiting/Rat Complaint,,,,,,33 N LONG AVE,60644,1140340.88010691,1899733.29782748,28,15,25,41.8809607122,-87.7601425722,"(41.88096071217518, -87.7601425721505)"
04/16/2015,Open,,15-01379703,Rodent Baiting/Rat Complaint,,,,,,4937 W WARWICK AVE,60641,1142766.81311803,1924478.09418611,45,16,15,41.9488182768,-87.7506172548,"(41.948818276817484, -87.7506172547789)"
04/16/2015,Open,,15-01367010,Rodent Baiting/Rat Complaint,,,,,,2700 N ALBANY AVE,60647,1155245.65837484,1917787.41197863,35,14,22,41.9302165909,-87.704927223,"(41.9302165909212, -87.70492722300007)"
04/16/2015,Open,,15-01353650,Rodent Baiting/Rat Complaint,,,,,,6100 N WINTHROP AVE,60660,1167759.33218259,1940513.47711025,48,24,77,41.9923168569,-87.6582847508,"(41.99231685694552, -87.65828475078234)"
04/16/2015,Open,,15-01361640,Rodent Baiting/Rat Complaint,,,,,,3732 W FULLERTON AVE,60647,1150969.56507091,1915694.07208114,35,25,22,41.9245572118,-87.7206958765,"(41.92455721181069, -87.72069587645092)"
04/16/2015,Open,,15-01365593,Rodent Baiting/Rat Complaint,,,,,,708 E 105TH ST,60628,1182850.80351694,1835486.02697181,9,5,50,41.7037755084,-87.6060459119,"(41.703775508395765, -87.6060459118975)"
04/16/2015,Open,,15-01374768,Rodent Baiting/Rat Complaint,,,,,,1663 N VINE ST,60614,1171769.82892458,1911335.23347472,43,18,7,41.9121631195,-87.6443957159,"(41.91216311954414, -87.64439571594285)"
04/16/2015,Open,,15-01363026,Rodent Baiting/Rat Complaint,,,,,,2900 N ALLEN AVE,60618,1152413.01368797,1919103.98482915,35,14,21,41.9338858716,-87.7153016785,"(41.933885871602904, -87.7153016784655)"
04/16/2015,Open,,15-01360751,Rodent Baiting/Rat Complaint,,,,,,1800 S RACINE AVE,60608,1168650.20851373,1891555.09649849,25,12,31,41.8579532012,-87.6564294422,"(41.857953201196686, -87.65642944218386)"
04/16/2015,Open,,15-01368356,Rodent Baiting/Rat Complaint,,,,,,7508 S GREEN ST,60620,1171938.93988778,1855003.57350761,17,6,71,41.7575803106,-87.6454317365,"(41.757580310625144, -87.64543173649848)"
04/16/2015,Open,,15-01366027,Rodent Baiting/Rat Complaint,,,,,,6200 W ROSCOE ST,60634,1134457.83403171,1921958.2333854,36,16,17,41.9420544631,-87.7812197514,"(41.942054463054085, -87.78121975137776)"
04/16/2015,Open,,15-01364022,Rodent Baiting/Rat Complaint,,,,,,8606 S MICHIGAN AVE,60619,1178653.918222,1847967.0706082,6,6,44,41.7381213455,-87.621035846,"(41.73812134545623, -87.6210358460207)"
04/16/2015,Open,,15-01363912,Rodent Baiting/Rat Complaint,,,,,,2914 W ADDISON ST,60618,1156411.68991014,1923789.84186743,33,17,16,41.9466641486,-87.7004794938,"(41.946664148573426, -87.7004794937696)"
04/16/2015,Open,,15-01360368,Rodent Baiting/Rat Complaint,,,,,,7 N HOMAN BLVD,60624,1153720.01289132,1899875.91162058,28,11,27,41.8810963465,-87.7110111388,"(41.88109634652129, -87.71101113883628)"
04/16/2015,Open,,15-01363427,Rodent Baiting/Rat Complaint,,,,,,5701 W DIVISION ST,60651,1138117.46413312,1907424.58356865,29,15,25,41.9021070332,-87.7681208892,"(41.90210703321596, -87.768120889191)"
04/16/2015,Open,,15-01359330,Rodent Baiting/Rat Complaint,,,,,,2738 N DAYTON ST,60614,1170138.69142947,1918396.50001896,43,19,7,41.9315753871,-87.6501813546,"(41.93157538711473, -87.65018135459322)"
04/16/2015,Open,,15-01362556,Rodent Baiting/Rat Complaint,,,,,,2745 N RICHMOND ST,60647,1156235.93332062,1918107.63950875,35,14,22,41.931075345,-87.7012795179,"(41.93107534502953, -87.7012795179044)"
04/16/2015,Open,,15-01358285,Rodent Baiting/Rat Complaint,,,,,,7307 S MARSHFIELD AVE,60636,1166608.51038607,1856254.9865828,17,7,67,41.7611296625,-87.6649314406,"(41.76112966248744, -87.66493144056236)"
04/16/2015,Open,,15-01362693,Rodent Baiting/Rat Complaint,,,,,,1441 N MAYFIELD AVE,60651,1136756.88342368,1908983.69082283,29,25,25,41.9064099052,-87.7730811743,"(41.90640990515313, -87.77308117428537)"
04/16/2015,Open,,15-01360558,Rodent Baiting/Rat Complaint,,,,,,2719 W FITCH AVE,60645,1156963.22392653,1947315.97267781,50,24,2,42.0112098224,-87.6978106342,"(42.011209822443874, -87.69781063416086)"
04/16/2015,Open,,15-01363534,Rodent Baiting/Rat Complaint,,,,,,2009 W SCHILLER ST,60622,1162747.24318021,1909433.08820649,1,14,24,41.9071375846,-87.677595477,"(41.90713758464869, -87.67759547698218)"
04/16/2015,Open,,15-01380379,Rodent Baiting/Rat Complaint,,,,,,2147 N SHEFFIELD AVE,60614,1169278.67901164,1914457.31479353,43,18,7,41.9207848258,-87.6534565137,"(41.92078482580008, -87.65345651371786)"
04/16/2015,Open,,15-01366404,Rodent Baiting/Rat Complaint,,,,,,1740 N WELLS ST,60614,1174375.94512753,1912052.33876632,43,18,7,41.9140730474,-87.6348002136,"(41.914073047437675, -87.63480021356597)"
04/16/2015,Open,,15-01380535,Rodent Baiting/Rat Complaint,,,,,,6139 W MELROSE ST,60634,1134894.92843185,1920965.15316652,36,16,17,41.9393216067,-87.7796367877,"(41.939321606718956, -87.77963678765985)"
04/16/2015,Open,,15-01369425,Rodent Baiting/Rat Complaint,,,,,,4319 S EMERALD AVE,60609,1172022.87318825,1876174.11329401,11,9,61,41.8156728028,-87.6445025367,"(41.815672802758144, -87.64450253672618)"
04/16/2015,Open,,15-01365602,Rodent Baiting/Rat Complaint,,,,,,1251 W BARRY AVE,60657,1167412.06991515,1920715.53322487,32,19,6,41.937998109,-87.6601342594,"(41.93799810898633, -87.66013425938033)"
04/16/2015,Open,,15-01374281,Rodent Baiting/Rat Complaint,,,,,,1466 W WARNER AVE,60613,1165624.19838779,1927651.10001993,47,19,6,41.9570679707,-87.6665067132,"(41.95706797069004, -87.66650671323458)"
04/16/2015,Open,,15-01352944,Rodent Baiting/Rat Complaint,,,,,,8438 S BURNHAM AVE,60617,1196291.21058182,1849560.76449513,7,4,46,41.7420758189,-87.5563654386,"(41.7420758189156, -87.55636543864611)"
04/16/2015,Open - Dup,,15-01365663,Rodent Baiting/Rat Complaint,,,,,,2406 N LOREL AVE,60639,1140317.85877517,1915479.66318655,31,25,19,41.9241710093,-87.7598405699,"(41.92417100929259, -87.75984056992449)"
04/16/2015,Open,,15-01360815,Rodent Baiting/Rat Complaint,,,,,,1840 W SCHOOL ST,60657,1163422.05331639,1921939.03282953,32,19,5,41.9414405033,-87.6747637887,"(41.94144050326116, -87.674763788683)"
04/16/2015,Open,,15-01371718,Rodent Baiting/Rat Complaint,,,,,,2536 S LAWNDALE AVE,60623,1152110.39187177,1886900.68357659,22,10,30,41.8455227077,-87.7172635012,"(41.84552270768355, -87.71726350122849)"
04/16/2015,Open,,15-01368182,Rodent Baiting/Rat Complaint,,,,,,6512 S WASHTENAW AVE,60629,1159496.84819628,1861343.42379748,15,8,66,41.7752417602,-87.6908570239,"(41.775241760221796, -87.6908570238534)"
04/16/2015,Open,,15-01357260,Rodent Baiting/Rat Complaint,,,,,,1416 W ERIE ST,60642,1166777.22748228,1904460.75711486,27,12,24,41.893407678,-87.662934395,"(41.893407678028844, -87.66293439496098)"
04/16/2015,Open,,15-01369464,Rodent Baiting/Rat Complaint,,,,,,2137 N LEAVITT ST,60647,1161342.04511338,1914396.4998285,32,14,22,41.9207869062,-87.6826190392,"(41.92078690620316, -87.68261903924783)"
04/16/2015,Open,,15-01376065,Rodent Baiting/Rat Complaint,,,,,,2556 W BERTEAU AVE,60618,1158478.32003312,1927806.2299311,47,19,5,41.9576432336,-87.692772826,"(41.95764323360418, -87.69277282595475)"
04/16/2015,Open,,15-01358535,Rodent Baiting/Rat Complaint,,,,,,922 N HERMITAGE AVE,60622,1164556.27638255,1906395.22669145,1,12,24,41.8987633356,-87.671036289,"(41.89876333556116, -87.6710362889761)"
04/16/2015,Open,,15-01362939,Rodent Baiting/Rat Complaint,,,,,,5738 S CALUMET AVE,60637,1179462.78710234,1867042.57057743,20,2,40,41.7904481472,-87.6174907514,"(41.79044814724925, -87.61749075136787)"
04/16/2015,Open,,15-01366323,Rodent Baiting/Rat Complaint,,,,,,2417 W TAYLOR ST,60612,1160419.05781839,1895639.21990138,28,11,28,41.8693345362,-87.6865298439,"(41.86933453615252, -87.6865298438863)"
04/16/2015,Open,,15-01376060,Rodent Baiting/Rat Complaint,,,,,,2900 W FLOURNOY ST,60612,1157141.78741728,1896897.87448324,2,11,27,41.872855544,-87.6985274273,"(41.872855544038, -87.69852742730032)"
04/16/2015,Open - Dup,,15-01375203,Rodent Baiting/Rat Complaint,,,,,,1053 W SCHOOL ST,60657,1168591.79422683,1922080.77639868,44,19,6,41.9417188942,-87.6557588995,"(41.94171889418471, -87.6557588995058)"
04/16/2015,Open,,15-01360771,Rodent Baiting/Rat Complaint,,,,,,5926 S ARTESIAN AVE,60629,1161052.69241659,1865299.29921758,16,8,66,41.7860651888,-87.6850441283,"(41.78606518876612, -87.68504412829148)"
04/16/2015,Open,,15-01361714,Rodent Baiting/Rat Complaint,,,,,,2500 N LAWNDALE AVE,60647,1151294.72396711,1916362.3124282,35,25,22,41.92638454,-87.7194835169,"(41.92638453995931, -87.71948351692421)"
04/16/2015,Open,,15-01363100,Rodent Baiting/Rat Complaint,,,,,,3600 N CHRISTIANA AVE,60618,1153415.01989113,1923738.65418577,35,17,16,41.9465838722,-87.7114957674,"(41.94658387222988, -87.71149576744332)"
04/16/2015,Open,,15-01359336,Rodent Baiting/Rat Complaint,,,,,,6207 N BERNARD ST,60659,1152258.96568954,1940967.64568489,50,17,13,41.9938842419,-87.715288241,"(41.99388424190225, -87.71528824095995)"
04/16/2015,Open,,15-01363418,Rodent Baiting/Rat Complaint,,,,,,3700 W 59TH ST,60629,1152718.50798184,1865233.28787483,14,8,62,41.7860524195,-87.7156033859,"(41.7860524195009, -87.71560338586876)"
04/16/2015,Open,,15-01359784,Rodent Baiting/Rat Complaint,,,,,,939 W 34TH ST,60608,1170599.83302229,1882390.25909312,11,9,60,41.8327616929,-87.6495410174,"(41.83276169290039, -87.64954101739427)"
04/16/2015,Open,,15-01376059,Rodent Baiting/Rat Complaint,,,,,,4342 W CERMAK RD,60623,1147649.38960339,1889015.44116816,24,10,29,41.8514125262,-87.7335808901,"(41.851412526152224, -87.73358089007485)"
04/16/2015,Open,,15-01366422,Rodent Baiting/Rat Complaint,,,,,,3640 N WESTERN AVE,60618,1159728.83647097,1924106.41933258,47,19,5,41.9474650009,-87.6882778864,"(41.94746500086919, -87.68827788639601)"
04/16/2015,Open,,15-01363133,Rodent Baiting/Rat Complaint,,,,,,3258 N NEVA AVE,60634,1127855.13071853,1920832.41159677,36,16,17,41.9390792067,-87.8055135335,"(41.939079206698764, -87.80551353354467)"
04/16/2015,Open,,15-01362728,Rodent Baiting/Rat Complaint,,,,,,8146 S WOLCOTT AVE,60620,1165104.28082903,1850647.5825973,18,6,71,41.7457740879,-87.670602872,"(41.74577408790686, -87.67060287195042)"
04/16/2015,Open,,15-01361894,Rodent Baiting/Rat Complaint,,,,,,4705 W GRACE ST,60641,1144355.33070254,1924848.59218951,38,17,15,41.9498051713,-87.7447687251,"(41.94980517131173, -87.744768725102)"
04/16/2015,Open,,15-01360379,Rodent Baiting/Rat Complaint,,,,,,3751 N BOSWORTH AVE,60613,1165316.10996788,1924990.19002844,44,19,6,41.9497728866,-87.6677153104,"(41.94977288658743, -87.66771531044463)"
04/16/2015,Open,,15-01357005,Rodent Baiting/Rat Complaint,,,,,,6717 S WOLCOTT AVE,60636,1164844.34777907,1860127.10762196,15,7,67,41.7717927261,-87.6712880061,"(41.7717927260674, -87.67128800608957)"
04/16/2015,Open,,15-01375510,Rodent Baiting/Rat Complaint,,,,,,3002 W AINSLIE ST,60625,1155400.24900697,1932396.06802267,33,17,14,41.9703006025,-87.7039649242,"(41.970300602504835, -87.70396492424887)"
04/16/2015,Open,,15-01359430,Rodent Baiting/Rat Complaint,,,,,,6960 N BELL AVE,60645,1160182.45299807,1946129.29638419,50,24,2,42.0078873579,-87.6859987665,"(42.007887357864405, -87.68599876649193)"
04/16/2015,Open,,15-01377045,Rodent Baiting/Rat Complaint,,,,,,3541 W POLK ST,60624,1152896.37379292,1896139.98170879,24,11,27,41.8708609036,-87.7141344742,"(41.87086090363662, -87.71413447422783)"
04/16/2015,Open,,15-01353747,Rodent Baiting/Rat Complaint,,,,,,1600 W JUNEWAY TER,60626,1164286.57429665,1951482.52726603,49,24,1,42.0224905674,-87.6707463668,"(42.0224905674371, -87.67074636682617)"
04/16/2015,Open,,15-01371118,Rodent Baiting/Rat Complaint,,,,,,1025 N WINCHESTER AVE,60622,1163216.4060303,1906846.95883423,1,12,24,41.9000312007,-87.6759448435,"(41.90003120071501, -87.67594484352509)"
04/16/2015,Open,,15-01379890,Rodent Baiting/Rat Complaint,,,,,,918 W MARGATE TER,60640,1169302.82916937,1933285.68237975,48,20,3,41.9724500967,-87.6528185305,"(41.97245009666097, -87.6528185304754)"
04/16/2015,Open,,15-01356679,Rodent Baiting/Rat Complaint,,,,,,1307 W FARWELL AVE,60626,1166173.87161151,1945752.62977675,49,24,1,42.0067273477,-87.6639659103,"(42.00672734771947, -87.66396591025543)"
04/16/2015,Open,,15-01359597,Rodent Baiting/Rat Complaint,,,,,,6347 S ST LAWRENCE AVE,60637,1181325.83296982,1863054.72057713,20,3,42,41.7794623461,-87.6107823883,"(41.779462346139475, -87.61078238829226)"
04/16/2015,Open,,15-01360807,Rodent Baiting/Rat Complaint,,,,,,753 N LONG AVE,60644,1140182.16450705,1904481.43061858,37,15,25,41.8939930892,-87.7606090081,"(41.893993089172525, -87.76060900805128)"
04/16/2015,Open,,15-01376698,Rodent Baiting/Rat Complaint,,,,,,1916 W GREENLEAF AVE,60626,1162230.68279502,1946960.96691227,49,24,1,42.0101267367,-87.6784394738,"(42.010126736651564, -87.67843947380811)"
04/16/2015,Open,,15-01362522,Rodent Baiting/Rat Complaint,,,,,,6651 N CALIFORNIA AVE,60645,1156456.75400065,1944006.46992894,50,24,2,42.0021387269,-87.6997642668,"(42.00213872689442, -87.69976426682204)"
04/16/2015,Open,,15-01375511,Rodent Baiting/Rat Complaint,,,,,,5411 W HIRSCH ST,60651,1139942.7601316,1908785.7200077,37,25,25,41.9058089548,-87.7613828837,"(41.90580895482492, -87.76138288374418)"
04/16/2015,Open,,15-01354529,Rodent Baiting/Rat Complaint,,,,,,244 W 29TH ST,60616,1175034.5485126,1885483.73270281,11,9,34,41.8411524142,-87.6331769043,"(41.8411524142126, -87.63317690429173)"
04/16/2015,Open,,15-01360849,Rodent Baiting/Rat Complaint,,,,,,1029 N DEARBORN ST,60610,1175749.07942401,1907281.46926765,42,18,8,41.9009507655,-87.6298993448,"(41.90095076551523, -87.6298993447991)"
04/16/2015,Open,,15-01362011,Rodent Baiting/Rat Complaint,,,,,,3767 N KILBOURN AVE,60641,1145445.08152416,1924568.64409198,38,17,16,41.9490163647,-87.7407700035,"(41.9490163646613, -87.74077000350158)"
04/16/2015,Open,,15-01369322,Rodent Baiting/Rat Complaint,,,,,,1306 N BOSWORTH AVE,60642,1165847.83556629,1908786.05106751,1,14,24,41.9052964645,-87.6662241842,"(41.90529646448001, -87.666224184229)"
04/16/2015,Open,,15-01357138,Rodent Baiting/Rat Complaint,,,,,,10906 S WALLACE ST,60628,1174246.07391187,1832562.02802866,34,22,49,41.695946712,-87.6376411209,"(41.69594671197996, -87.63764112090976)"
04/16/2015,Open,,15-01355758,Rodent Baiting/Rat Complaint,,,,,,835 W GEORGE ST,60657,1170197.70671916,1919472.42992269,44,19,6,41.9345264965,-87.6499329683,"(41.93452649647019, -87.64993296826299)"
04/16/2015,Completed - Dup,04/16/2015,15-01353024,Rodent Baiting/Rat Complaint,,,,,,3851 W MONTROSE AVE,60618,1149831.77830629,1928961.91041143,39,17,16,41.9609874603,-87.7245303732,"(41.96098746032904, -87.72453037322694)"
04/16/2015,Open,,15-01364709,Rodent Baiting/Rat Complaint,,,,,,1535 W BARRY AVE,60657,1165535.97509125,1920659.80082484,32,19,6,41.9378853968,-87.6670308509,"(41.93788539677561, -87.66703085093093)"
04/16/2015,Open,,15-01368722,Rodent Baiting/Rat Complaint,,,,,,4501 N LAPORTE AVE,60630,1142556.58350874,1929470.28519575,45,16,15,41.9625212064,-87.751265392,"(41.96252120640029, -87.75126539203464)"
04/16/2015,Open,,15-01379513,Rodent Baiting/Rat Complaint,,,,,,2010 W GRAND AVE,60612,1162912.46299041,1903487.81212267,26,12,24,41.8908198254,-87.6771555942,"(41.890819825373185, -87.67715559418207)"
04/16/2015,Open,,15-01357729,Rodent Baiting/Rat Complaint,,,,,,6234 N TRIPP AVE,60646,1146910.59010125,1941066.12479375,39,17,12,41.9942587113,-87.7349594229,"(41.99425871134806, -87.73495942288395)"
04/16/2015,Open,,15-01360709,Rodent Baiting/Rat Complaint,,,,,,2719 W FITCH AVE,60645,1156963.22392653,1947315.97267781,50,24,2,42.0112098224,-87.6978106342,"(42.011209822443874, -87.69781063416086)"
04/16/2015,Open,,15-01360763,Rodent Baiting/Rat Complaint,,,,,,718 N SPRINGFIELD AVE,60624,1150259.94529708,1904512.81551876,27,11,23,41.8938886521,-87.7235954,"(41.893888652131814, -87.723595400005)"
04/16/2015,Open,,15-01361680,Rodent Baiting/Rat Complaint,,,,,,3238 W FULTON BLVD,60624,1154727.07552893,1901818.04059706,28,11,27,41.8864056441,-87.7072612225,"(41.886405644055635, -87.70726122253474)"
04/16/2015,Open,,15-01375503,Rodent Baiting/Rat Complaint,,,,,,6024 N MONTICELLO AVE,60659,1150954.58001982,1939784.72939842,50,17,13,41.9906639877,-87.7201175023,"(41.990663987683426, -87.72011750230067)"
04/16/2015,Open,,15-01370595,Rodent Baiting/Rat Complaint,,,,,,1645 N SEDGWICK ST,60614,1173340.16392934,1911372.79007293,43,18,7,41.9122314192,-87.6386256811,"(41.912231419244705, -87.6386256810682)"
04/16/2015,Open,,15-01380111,Rodent Baiting/Rat Complaint,,,,,,2145 N RACINE AVE,60614,1167959.59797511,1914405.69583283,32,18,7,41.9206717751,-87.6583045651,"(41.92067177514666, -87.65830456505847)"
04/16/2015,Open,,15-01380389,Rodent Baiting/Rat Complaint,,,,,,2142 N SHEFFIELD AVE,60614,1169279.77901164,1914423.91479353,32,18,7,41.9206931505,-87.653453445,"(41.92069315050747, -87.65345344503689)"
04/16/2015,Open,,15-01361228,Rodent Baiting/Rat Complaint,,,,,,3 W SUPERIOR ST,60654,1176214.40311884,1905363.71929224,42,18,8,41.8956778832,-87.6282480861,"(41.89567788318543, -87.62824808608153)"
04/16/2015,Open,,15-01361348,Rodent Baiting/Rat Complaint,,,,,,5303 S FRANCISCO AVE,60632,1157942.19130076,1869348.17810421,14,9,63,41.7972396646,-87.696338842,"(41.79723966456297, -87.6963388419551)"
04/16/2015,Open,,15-01366061,Rodent Baiting/Rat Complaint,,,,,,6241 W ROSCOE ST,60634,1134183.43403171,1921952.4333854,36,16,17,41.9420433926,-87.7822284456,"(41.94204339263181, -87.78222844562691)"
04/16/2015,Open,,15-01379604,Rodent Baiting/Rat Complaint,,,,,,7615 S EUCLID AVE,60649,1190525.12990544,1854864.32406575,8,4,43,41.7567701782,-87.5773211502,"(41.75677017823526, -87.57732115024085)"
04/16/2015,Open,,15-01366414,Rodent Baiting/Rat Complaint,,,,,,3928 N SPAULDING AVE,60618,1153689.35399246,1925927.73958507,33,17,16,41.95258541,-87.7104289141,"(41.95258540997079, -87.71042891408936)"
04/16/2015,Open,,15-01379791,Rodent Baiting/Rat Complaint,,,,,,10850 S WABASH AVE,60628,1178491.17782786,1833369.9906927,9,5,49,41.6980687337,-87.6220739024,"(41.69806873371433, -87.6220739023529)"
04/16/2015,Open,,15-01361190,Rodent Baiting/Rat Complaint,,,,,,3500 N OAK PARK AVE,60634,1130456.02517167,1922512.43067572,36,16,17,41.9436450313,-87.7959156534,"(41.94364503128591, -87.79591565340782)"
04/16/2015,Open,,15-01361773,Rodent Baiting/Rat Complaint,,,,,,2500 N RIDGEWAY AVE,60647,1150961.81476922,1916354.54362406,35,25,22,41.9263697551,-87.7207070158,"(41.926369755057884, -87.72070701577633)"
04/15/2015,Open,,15-01335721,Rodent Baiting/Rat Complaint,,,,,,2155 W 24TH ST,60608,1162376.31182889,1888059.85938538,25,10,31,41.8484953424,-87.6795561304,"(41.8484953424377, -87.67955613036877)"
04/15/2015,Open,,15-01351075,Rodent Baiting/Rat Complaint,,,,,,2847 N SPRINGFIELD AVE,60618,1149896.8101256,1918649.52781053,30,25,21,41.9326882044,-87.7245605651,"(41.93268820440412, -87.72456056506117)"
04/15/2015,Open,,15-01336168,Rodent Baiting/Rat Complaint,,,,,,5303 S HYDE PARK BLVD,60615,1188552.14226668,1870444.87227557,5,2,41,41.799571795,-87.5840541631,"(41.79957179503844, -87.58405416312702)"
04/15/2015,Open,,15-01351105,Rodent Baiting/Rat Complaint,,,,,,1808 W ESTES AVE,60626,1162835.8620976,1947422.61151915,49,24,1,42.0113807743,-87.6761997719,"(42.011380774310645, -87.67619977194121)"
04/15/2015,Open,,15-01346838,Rodent Baiting/Rat Complaint,,,,,,12525 S YALE AVE,60628,1176884.96759137,1821887.35720573,9,5,53,41.6665948871,-87.6282990406,"(41.66659488713281, -87.6282990405504)"
04/15/2015,Completed,04/17/2015,15-01334490,Rodent Baiting/Rat Complaint,3,3,3,Dispatch Crew,Inspected and baited,3640 N JANSSEN AVE,60613,1165992.43908044,1924270.97572973,44,19,6,41.9477848894,-87.6652498241,"(41.947784889417754, -87.66524982408987)"
04/15/2015,Completed,04/17/2015,15-01341013,Rodent Baiting/Rat Complaint,0,1,2,Dispatch Crew,"Area inspected, no cause and no baiting",2862 W BELDEN AVE,60647,1156837.52568451,1915271.72328834,35,14,22,41.9232811879,-87.6991458567,"(41.923281187913794, -87.69914585674421)"
04/15/2015,Completed,04/17/2015,15-01335003,Rodent Baiting/Rat Complaint,0,4,0,Dispatch Crew,"Area inspected, no cause and no baiting",4309 N RIDGEWAY AVE,60618,1150617.96520237,1928377.28579719,39,17,16,41.9593678451,-87.7216552616,"(41.95936784505903, -87.72165526155534)"
04/15/2015,Open,,15-01344487,Rodent Baiting/Rat Complaint,,,,,,7430 S MAPLEWOOD AVE,60629,1160665.31622625,1855308.05031852,18,8,66,41.7586557863,-87.6867398628,"(41.75865578629928, -87.68673986281512)"
04/15/2015,Completed,04/17/2015,15-01338205,Rodent Baiting/Rat Complaint,2,2,2,Dispatch Crew,Inspected and baited,5123 S TALMAN AVE,60632,1159572.19802878,1870594.61419811,14,9,63,41.8006267483,-87.6903271646,"(41.80062674827992, -87.69032716462992)"
04/15/2015,Open,,15-01348429,Rodent Baiting/Rat Complaint,,,,,,18 E CONGRESS PKWY,60605,1176633.22810431,1898074.72647063,2,1,32,41.8756670374,-87.6269302261,"(41.87566703735486, -87.62693022606848)"
04/15/2015,Completed,04/17/2015,15-01340130,Rodent Baiting/Rat Complaint,1,0,1,Dispatch Crew,Inspected and baited,3446 N LEAVITT ST,60618,1161085.90342943,1922854.87501934,32,19,5,41.9440025574,-87.6833245407,"(41.94400255742816, -87.68332454068752)"
04/15/2015,Completed,04/17/2015,15-01339549,Rodent Baiting/Rat Complaint,5,7,5,Dispatch Crew,Inspected and baited,2665 N DAYTON ST,60614,1170154.69142947,1917915.80001896,43,19,7,41.9302559744,-87.6501366337,"(41.930255974368464, -87.6501366337404)"
04/15/2015,Completed,04/20/2015,15-01338426,Rodent Baiting/Rat Complaint,0,4,0,Dispatch Crew,Inspected and baited,3810 W 55TH PL,60629,1151916.26732686,1867523.52578764,23,8,62,41.7923529571,-87.7184847767,"(41.79235295714808, -87.71848477667454)"
04/15/2015,Open,,15-01349692,Rodent Baiting/Rat Complaint,,,,,,7117 N MASON AVE,60646,1136211.4308022,1946956.89002384,41,16,12,42.0106218241,-87.7741746626,"(42.010621824121124, -87.77417466259557)"
04/15/2015,Open,,15-01348144,Rodent Baiting/Rat Complaint,,,,,,3705 W IRVING PARK RD,60618,1150954.91149298,1926332.84850734,39,17,16,41.9537511556,-87.7204702471,"(41.953751155612935, -87.72047024709201)"
04/15/2015,Completed,04/17/2015,15-01342185,Rodent Baiting/Rat Complaint,2,0,2,Dispatch Crew,Inspected and baited,1738 N WELLS ST,60614,1174376.54512753,1912030.63876632,43,18,7,41.9140134882,-87.6347986586,"(41.91401348824747, -87.63479865859428)"
04/15/2015,Open,,15-01349153,Rodent Baiting/Rat Complaint,,,,,,1420 N MAPLEWOOD AVE,60622,1159147.42391675,1909355.31178384,26,14,24,41.9069989132,-87.6908213114,"(41.906998913188225, -87.69082131144593)"
04/15/2015,Completed - Dup,04/20/2015,15-01341786,Rodent Baiting/Rat Complaint,,,,,,2125 W 50TH PL,60609,1163066.03869069,1871160.49779532,16,9,61,41.8021071674,-87.6774982318,"(41.80210716738481, -87.67749823181916)"
04/15/2015,Open,,15-01345206,Rodent Baiting/Rat Complaint,,,,,,6153 N NORTHCOTT AVE,60631,1127944.90779514,1940438.46028567,41,16,10,41.992878799,-87.804739018,"(41.99287879897214, -87.80473901800312)"
04/15/2015,Open,,15-01349713,Rodent Baiting/Rat Complaint,,,,,,6136 N HARDING AVE,60659,1148906.63101988,1940464.42998869,39,17,13,41.9925691183,-87.7276327049,"(41.99256911828271, -87.72763270494002)"
04/15/2015,Completed,04/17/2015,15-01338919,Rodent Baiting/Rat Complaint,1,3,2,Dispatch Crew,Inspected and baited,746 W CORNELIA AVE,60657,1170583.83002197,1923457.55092764,46,19,6,41.9454533758,-87.6483969575,"(41.94545337581253, -87.64839695745427)"
04/15/2015,Completed,04/20/2015,15-01337057,Rodent Baiting/Rat Complaint,0,0,0,Dispatch Crew,Inspected and baited,1754 W WINNEMAC AVE,60640,1163738.72007103,1933582.6776041,47,20,3,41.9733845227,-87.6732702845,"(41.97338452267295, -87.67327028450559)"
04/15/2015,Open,,15-01344240,Rodent Baiting/Rat Complaint,,,,,,4770 N MILWAUKEE AVE,60630,1140119.26151403,1931166.14536577,45,16,15,41.9672198786,-87.7601848901,"(41.967219878578646, -87.76018489006432)"
04/15/2015,Completed,04/20/2015,15-01342948,Rodent Baiting/Rat Complaint,0,0,0,Dispatch Crew,Inspected and baited,7615 S CALUMET AVE,60619,1179793.51482507,1854593.42279769,6,6,69,41.7562788558,-87.616658463,"(41.75627885580173, -87.61665846298305)"
04/15/2015,Completed,04/17/2015,15-01334502,Rodent Baiting/Rat Complaint,0,3,0,Dispatch Crew,"Area inspected, no cause and no baiting",4541 N MALDEN ST,60640,1166724.34997925,1930321.55002354,46,19,3,41.9643722264,-87.662385376,"(41.96437222643336, -87.66238537600395)"
04/15/2015,Open,,15-01342287,Rodent Baiting/Rat Complaint,,,,,,2509 N NEW ENGLAND AVE,60707,1130000.96860329,1915920.00697977,36,25,18,41.9255624496,-87.7977396362,"(41.92556244957405, -87.79773963623286)"
